DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count
554,98.01343209649797,2.011631994159327,10.795897156872702,73.542682785525,10.912293683323425,801,0,0,0,0,0,143584.8479891016,12,0,0,0,3,0,0
555,166.38052076969714,10.549305079563938,8.54567440095183,132.48541303510817,2.5835706431965475,876,0,0,0,0,0,348833.1678452461,272,15,0,22,23,2,0
556,162.25765894847794,11.186279646925948,11.244231012760716,134.43204256074733,0.8091994743157567,2785,0,0,0,0,0,450621.65419076884,76,1,0,12,8,2,0
557,69.99297980625755,5.722058990513689,7.017811487480744,49.98069757686995,5.744569777955867,3633,0,0,0,0,0,342623.1549243767,53,2,1,8,5,3,0
558,95.08465250436144,14.561401185472867,11.701704656556553,64.78613252970527,0.9084997350416498,223,0,0,0,0,0,208844.51509591128,12,0,1,0,1,1,0
559,110.60007641096412,4.092096214871848,13.133640991166954,90.00153760767024,2.4683483168009572,971,0,0,0,0,0,189234.75477200848,51,2,0,2,12,4,0
560,194.342920291353,4.228106775665007,11.181172354948995,169.72162848293195,7.877816853271659,1480,0,0,0,0,0,210847.18473473223,67,0,0,3,12,4,0
561,141.16490212238935,4.630819226629584,14.623744756060686,112.95398953242099,7.032927931995536,1732,0,0,0,0,0,214939.0631872078,75,0,0,3,15,3,0
562,496.1174556688716,6.9616152969338,55.044837794181326,403.85946195627815,9.198082176272425,8569,0,0,0,0,0,1588785.1612096382,571,33,8,48,55,23,9
563,168.619294984475,4.987402606825364,15.458334959087109,145.1123862977172,0.9350630348216022,2627,0,0,0,0,0,367925.50646580954,43,0,5,1,8,3,1
564,68.67460220046028,6.618897730978468,2.7143357011440457,55.702695368771515,0.5361988288056841,3339,0,0,0,0,0,569289.6696252974,92,13,1,12,10,0,0
565,83.88992937381542,8.61791024630196,6.484227364949371,59.34864115540751,6.25004957364491,1640,0,0,0,0,0,321545.6592414786,51,2,0,3,1,0,0
566,189.45202125809607,14.686820388586044,15.033916780273495,155.40425008906627,4.1869365580386,161,0,0,0,0,0,35505.937942445365,12,1,0,0,1,0,0
567,314.0669671811699,27.292914427209833,44.030185145866206,209.10974111130005,27.430021830950174,2084,0,0,0,0,0,427591.45209771,78,2,0,5,6,2,0
568,201.9179946408453,9.155376905333824,44.97572136009934,143.07269424327708,3.125866927447059,2041,0,0,0,0,0,493651.36080727767,341,23,6,40,16,5,1
569,69.47126302543501,3.5635344149468233,5.09263983421384,53.9946443261488,6.820444450125536,603,0,0,0,0,0,93764.15402275641,9,1,0,0,0,0,0
570,252.59928770398375,19.348462392671273,22.92338715878323,187.46279987722264,18.434144484870085,782,0,0,0,0,0,263290.20401107974,71,5,1,9,9,1,0
571,305.76026585416264,26.935787937078334,45.577520843316535,199.99753589518753,26.315501174632256,1845,0,0,0,0,0,395965.293925852,76,2,0,5,6,2,0
572,39.00295310031821,5.2904396216048,0.6519821149226371,31.20440387655703,1.1598819852695523,171,0,0,0,0,0,51642.127161777185,5,0,0,0,1,0,0
573,117.47937244153904,10.25499679042814,11.373223067944481,86.24033613909509,7.558673478104105,287,0,0,0,0,0,260645.8738324803,80,6,1,5,5,0,0
574,227.96969508046473,0.0,32.39350654801771,176.21658716538414,19.28497965230009,282,0,0,0,0,0,155148.34202874443,18,0,0,1,7,1,0
575,56.17444351156799,3.109171689114668,7.30889039628688,39.34166723208464,6.407157331715115,243,0,0,0,0,0,34406.02863493833,17,0,0,1,1,0,0
576,78.47167762540785,0.0,19.042142921907246,37.60196138418374,20.851692890141504,28,0,0,0,0,0,3809.0536305189103,4,0,0,0,0,0,0
577,115.64853282478025,4.506160138663876,17.48462737891917,88.73932416737507,0.9623784564374469,16062,0,0,0,0,0,1763063.8908523319,155,8,4,8,85,3,0
578,110.11351218365145,3.937453149512864,16.53742545213575,85.68925646433014,0.37054382601787267,15418,0,0,0,0,0,1607157.094795627,131,8,1,4,83,2,0
579,91.00651580864272,2.53162164734977,12.680203569579184,70.53040691805815,1.2482408410340113,13017,0,0,0,0,0,1155973.4566909578,65,0,0,0,57,1,0
580,160.10866453903216,15.124723326315973,26.45012894578345,113.91000923377766,0.6690030830666317,12573,0,0,0,0,0,2474357.5175135992,315,17,29,22,68,4,3
581,107.20617960782256,12.719948647389172,18.781422215281378,71.70040862783907,0.6690030830666316,8435,0,0,0,0,0,1530232.9993056837,251,14,27,18,40,3,3
582,127.4959637381148,6.757240886831195,21.400774002299524,94.67225247527915,0.9623784564374469,17399,0,0,0,0,0,2150429.7220591116,186,10,6,9,78,4,1
583,135.18111194832304,8.474289433048382,22.584237774174255,99.97275755088947,0.7522125086037843,18082,0,0,0,0,0,2354349.4327798514,231,11,14,14,88,4,1
584,73.87246579762432,1.9410719927695772,8.97022085918418,52.26202671018039,4.334573756615075,7841,0,0,0,0,0,799493.965478057,127,0,10,2,27,4,0
585,244.64134745427174,16.227735559773407,29.393850566301744,76.61444891639523,116.72132083418118,12173,0,0,0,0,0,1231933.8949515144,48,1,0,1,0,2,0
586,71.32099550332615,3.3211863386264153,6.905900552378074,37.89022103189015,23.151530451660612,4619,0,0,0,0,0,496930.0451391121,5,0,0,0,1,0,0
587,527.7203124864012,13.056984576610278,48.53521798182254,330.2227905218288,130.64020686146478,30235,0,0,0,0,0,3501039.14655496,81,3,0,6,10,0,0
588,108.47635138566629,11.601619828817634,8.202082609434,70.38128098064847,16.534007743949022,8364,0,0,0,0,0,742498.7651404946,51,2,1,4,8,1,1
589,143.14598127748894,3.3797513468380926,15.913039735509104,62.91920257998861,24.6091543494989,4760,0,0,0,0,0,473135.7842227135,50,0,0,2,3,2,0
590,740.7622768421741,13.643220731616777,53.39380498605409,548.2485692128071,121.56307974567905,43479,0,0,0,0,0,4278642.154349755,193,2,0,23,45,0,0
591,90.76330872732262,0.0,8.966450779327808,24.317834885074983,55.835598546027384,3501,0,0,0,0,0,355909.1738501161,6,0,0,0,0,0,0
592,769.1549258235984,21.05282926963329,99.70432238320375,550.7062530865059,87.91700520494892,49980,0,0,0,0,0,4544854.222079587,98,1,0,9,18,0,0
