DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count,VIIRS_Median
895,88.39170018460348,20.84005614387796,8.52055482243431,36.30784979602615,22.68981384290888,7195,0,0,0,0,0,352312.9710433647,18,0,0,1,0,0,0,0.28
909,90.35001491655167,6.945673252594224,12.420802872058932,33.25737472812435,36.2960402786273,1848,0,0,0,0,0,176568.21905277524,8,0,0,0,0,0,0,0.205
948,107.24418245124471,5.610345025245537,16.171722683183315,73.87354255073608,4.037927534395031,6630,0,0,0,0,0,917187.4402644335,462,25,18,55,23,9,1,2.705
955,101.57747865165997,13.479212285856923,27.853215270276674,38.072450515167446,19.463529455350525,5243,0,0,0,0,0,278519.43698835175,18,0,0,1,0,0,0,0.29500002
1055,83.99395698606426,0.0,16.017608396064535,52.86128175071335,15.115066839286374,1225,0,0,0,0,0,212498.9010652124,1,0,0,0,0,0,0,0.34
1056,17.394444595520035,0.0,4.3516303324489405,6.385904768111438,6.656909494959654,9,0,0,0,0,0,903.3626245398461,0,0,0,0,0,0,0,0.225
1086,159.36974521269534,9.523635747926752,31.032482780857844,110.10120152799317,5.213751061732838,1655,0,0,0,0,0,647284.9087241921,263,15,8,21,20,5,1,6.41
1087,155.12152439524687,10.2866647265346,25.039828302372623,109.54493387165945,7.013090565672454,4947,0,0,0,0,0,835366.6759584645,219,10,8,13,13,7,1,4.62
1171,11.197111305355271,0.0,3.3379843340279782,6.5403435447840454,1.3187834265432479,5,0,0,0,0,0,1071.9673375885536,0,0,0,0,0,0,0,0.22
1180,107.51287589995549,3.9029711306508363,21.507738314071904,71.53404861052404,10.451421203662846,553,0,0,0,0,0,49788.60404806299,1,0,0,0,0,0,0,0.325
